ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000124406","ATP8A1","-2.98","1.69","-41.23","1.22e-165","7.15e-165"
"ENSG00000124440","HIF3A","-2.73","3.25","-15.69","1.19e-45","3.72e-46"
"ENSG00000124479","NDP","-2.04","2.25","-12.65","3.69e-32","8.21e-33"
"ENSG00000124664","SPDEF","2.83","2.56","15.02","1.35e-42","3.92e-43"
"ENSG00000124762","CDKN1A","-3.01","4.86","-24.22","3.46e-87","2.98e-87"
"ENSG00000124935","SCGB1D2","4.67","4.30","22.03","2.22e-76","1.43e-76"
"ENSG00000124939","SCGB2A1","5.98","5.21","26.50","2.04e-98","2.29e-98"
"ENSG00000125124","BBS2","-2.02","4.39","-25.80","5.65e-95","5.7e-95"
"ENSG00000125144","MT1G","4.83","5.62","18.47","6.93e-59","2.97e-59"
"ENSG00000125355","TMEM255A","-2.51","1.50","-26.88","3.03e-100","3.53e-100"
"ENSG00000125398","SOX9","3.89","3.55","30.33","6.78e-117","1.2e-116"
"ENSG00000125503","PPP1R12C","-2.53","4.99","-29.22","1.35e-111","2.07e-111"
"ENSG00000125618","PAX8","5.66","6.39","35.21","1.85e-139","5.57e-139"
"ENSG00000125633","CCDC93","-2.02","2.75","-24.77","6.81e-90","6.22e-90"
"ENSG00000125637","PSD4","2.79","3.75","33.85","2.63e-133","6.87e-133"
"ENSG00000125675","GRIA3","-2.06","0.59","-48.68","2.74e-195","3.35e-194"
"ENSG00000125733","TRIP10","-2.09","5.31","-25.76","8.5e-95","8.53e-95"
"ENSG00000125744","RTN2","2.15","3.40","17.75","2.06e-55","8.11e-56"
"ENSG00000125772","GPCPD1","-2.08","3.20","-22.64","2.18e-79","1.51e-79"
"ENSG00000125850","OVOL2","3.58","3.07","44.80","3.23e-180","2.78e-179"
"ENSG00000125851","PCSK2","-2.28","1.27","-16.15","8.3e-48","2.72e-48"
"ENSG00000126218","F10","-3.66","1.78","-35.37","3.38e-140","1.04e-139"
"ENSG00000126351","THRA","-2.04","4.44","-22.01","2.82e-76","1.81e-76"
"ENSG00000126368","NR1D1","-2.66","3.47","-25.97","8.35e-96","8.62e-96"
"ENSG00000126460","PRRG2","2.65","2.65","30.78","5.04e-119","9.43e-119"
"ENSG00000126562","WNK4","-2.06","0.77","-24.81","4.35e-90","3.99e-90"
"ENSG00000126709","IFI6","3.66","8.91","19.06","9.42e-62","4.31e-62"
"ENSG00000126785","RHOJ","-2.03","1.73","-26.34","1.27e-97","1.38e-97"
"ENSG00000126787","DLGAP5","2.78","2.53","28.57","1.83e-108","2.63e-108"
"ENSG00000126790","L3HYPDH","-2.39","3.19","-29.36","2.95e-112","4.58e-112"
"ENSG00000126878","AIF1L","2.70","4.55","20.56","4.08e-69","2.22e-69"
"ENSG00000126947","ARMCX1","-2.48","3.08","-27.90","3.24e-105","4.27e-105"
"ENSG00000127083","OMD","-2.58","1.21","-23.97","5.91e-86","4.94e-86"
