ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000107742","SPOCK2","-2.02","3.57","-9.81","3.03e-20","6.84e-20"
"ENSG00000108551","RASD1","-4.56","2.62","-17.77","7.07e-51","1.15e-49"
"ENSG00000109846","CRYAB","2.34","11.63","10.36","4.04e-22","1.06e-21"
"ENSG00000109861","CTSC","2.43","8.43","14.68","2.2e-38","1.79e-37"
"ENSG00000110203","FOLR3","-3.32","1.13","-23.78","3.57e-75","1.75e-73"
"ENSG00000110492","MDK","2.17","6.16","9.48","3.82e-19","7.76e-19"
"ENSG00000110680","CALCA","-2.56","0.57","-20.29","3.76e-61","9.6e-60"
"ENSG00000111341","MGP","-2.50","6.71","-9.71","6.6e-20","1.45e-19"
"ENSG00000111404","RERGL","-2.70","1.00","-21.96","6.56e-68","2.36e-66"
"ENSG00000112782","CLIC5","-3.41","1.43","-23.01","4.02e-72","1.72e-70"
"ENSG00000112799","LY86","2.01","3.09","12.16","1.21e-28","5.27e-28"
"ENSG00000112936","C7","-4.56","3.88","-15.37","3.74e-41","3.51e-40"
"ENSG00000113073","SLC4A9","-3.45","0.73","-36.62","5.25e-122","3.41e-119"
"ENSG00000113249","HAVCR1","2.62","4.21","10.48","1.48e-22","4.02e-22"
"ENSG00000113361","CDH6","2.26","5.25","9.60","1.52e-19","3.22e-19"
"ENSG00000113578","FGF1","-3.38","1.71","-18.93","1.35e-55","2.74e-54"
"ENSG00000113721","PDGFRB","-2.14","2.89","-12.94","1.35e-31","7.2e-31"
"ENSG00000113889","KNG1","-6.96","1.62","-34.08","2.01e-113","6.51e-111"
"ENSG00000113905","HRG","-3.45","0.77","-26.16","1.77e-84","1.33e-82"
"ENSG00000113946","CLDN16","-2.48","1.74","-13.33","4.24e-33","2.49e-32"
"ENSG00000114455","HHLA2","2.05","3.37","7.53","4.35e-13","5.03e-13"
"ENSG00000114854","TNNC1","-2.49","1.55","-17.91","2.02e-51","3.39e-50"
"ENSG00000115112","TFCP2L1","-2.41","3.00","-14.09","4.71e-36","3.31e-35"
"ENSG00000115252","PDE1A","-2.91","2.06","-11.94","7.98e-28","3.25e-27"
