ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000141753","IGFBP4","-2.07","6.74","-12.58","2.27e-27","6.12e-27"
"ENSG00000142303","ADAMTS10","-2.46","3.51","-17.68","2.46e-43","3.61e-42"
"ENSG00000142512","SIGLEC10","-2.17","2.39","-16.27","5.99e-39","5.17e-38"
"ENSG00000143416","SELENBP1","-2.38","3.43","-15.23","1.06e-35","6.72e-35"
"ENSG00000143546","S100A8","-2.92","4.05","-14.58","1.18e-33","6.13e-33"
"ENSG00000143954","REG3G","-3.36","3.25","-12.37","9.98e-27","2.5e-26"
"ENSG00000145020","AMT","-2.81","3.54","-23.47","2.15e-60","3.27e-58"
"ENSG00000145506","NKD2","-2.45","2.10","-23.50","1.77e-60","2.87e-58"
"ENSG00000145708","CRHBP","-2.65","2.27","-21.40","1.7e-54","1.01e-52"
"ENSG00000146192","FGD2","-2.32","2.46","-21.31","3.06e-54","1.73e-52"
"ENSG00000146374","RSPO3","-2.67","2.09","-17.89","5.64e-44","8.68e-43"
"ENSG00000146674","IGFBP3","3.31","3.83","20.84","7.46e-53","3.7e-51"
"ENSG00000147378","FATE1","2.95","1.41","10.32","1.99e-20","2.76e-20"
"ENSG00000147647","DPYS","-2.55","3.29","-15.93","6.79e-38","5.3e-37"
"ENSG00000147872","PLIN2","-2.48","5.74","-13.95","1.17e-31","4.99e-31"
"ENSG00000148795","CYP17A1","-2.64","11.51","-7.53","1.53e-12","1.01e-12"
"ENSG00000149131","SERPING1","-2.25","6.04","-13.87","2.06e-31","8.53e-31"
"ENSG00000149476","TKFC","-2.18","6.87","-14.61","9.72e-34","5.07e-33"
"ENSG00000149591","TAGLN","-2.61","7.38","-14.66","6.57e-34","3.5e-33"
"ENSG00000150672","DLG2","-2.21","2.30","-19.43","1.17e-48","3.24e-47"
"ENSG00000152137","HSPB8","2.25","4.12","9.98","2.08e-19","2.62e-19"
"ENSG00000153823","PID1","-2.18","3.74","-15.44","2.29e-36","1.53e-35"
"ENSG00000153898","MCOLN2","-2.12","2.85","-14.64","7.83e-34","4.11e-33"
"ENSG00000154134","ROBO3","-2.35","3.34","-15.10","2.77e-35","1.69e-34"
"ENSG00000154277","UCHL1","-2.11","4.52","-7.67","6.58e-13","4.49e-13"
"ENSG00000154556","SORBS2","-2.61","6.30","-13.11","5.16e-29","1.62e-28"
"ENSG00000155659","VSIG4","-2.49","4.64","-12.69","1.05e-27","2.93e-27"
"ENSG00000156711","MAPK13","-2.02","4.87","-12.42","7.26e-27","1.85e-26"
"ENSG00000158019","BABAM2","-2.57","6.94","-14.26","1.2e-32","5.55e-32"
"ENSG00000158806","NPM2","-2.78","3.19","-19.36","1.96e-48","5.29e-47"
"ENSG00000159167","STC1","2.24","1.70","14.64","7.71e-34","4.06e-33"
"ENSG00000159674","SPON2","-2.62","4.20","-16.02","3.55e-38","2.9e-37"
"ENSG00000160801","PTH1R","-3.29","3.94","-21.86","8e-56","5.89e-54"
"ENSG00000160882","CYP11B1","-4.78","9.75","-13.10","5.33e-29","1.67e-28"
"ENSG00000162078","ZG16B","2.35","1.81","11.48","6.06e-24","1.18e-23"
"ENSG00000162144","CYB561A3","-2.74","7.18","-14.15","2.76e-32","1.23e-31"
"ENSG00000162494","LRRC38","-2.24","2.65","-11.76","8.02e-25","1.71e-24"
"ENSG00000162614","NEXN","-2.03","3.13","-17.08","1.8e-41","2.13e-40"
"ENSG00000162873","KLHDC8A","-2.43","3.24","-12.67","1.23e-27","3.43e-27"
"ENSG00000163220","S100A9","-3.37","5.08","-15.31","5.95e-36","3.82e-35"
"ENSG00000163331","DAPL1","-3.48","3.02","-14.92","1.04e-34","5.91e-34"
"ENSG00000163431","LMOD1","-2.77","3.95","-15.18","1.59e-35","1e-34"
"ENSG00000163687","DNASE1L3","-2.65","3.79","-15.54","1.18e-36","8.03e-36"
"ENSG00000164128","NPY1R","-2.78","3.19","-21.45","1.2e-54","7.28e-53"
"ENSG00000164199","ADGRV1","-3.87","4.93","-17.25","5.33e-42","6.65e-41"
"ENSG00000164283","ESM1","2.90","1.94","20.89","5.32e-53","2.7e-51"
"ENSG00000164294","GPX8","2.22","3.72","18.18","7.29e-45","1.27e-43"
"ENSG00000164318","EGFLAM","-2.08","2.34","-15.64","5.69e-37","4.06e-36"
"ENSG00000164326","CARTPT","-2.63","1.91","-7.79","3.04e-13","2.14e-13"
"ENSG00000164611","PTTG1","2.74","3.14","15.75","2.5e-37","1.86e-36"
"ENSG00000164877","MICALL2","-2.21","5.69","-17.72","1.94e-43","2.87e-42"
