ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000135063","ENTREP1","-2.41","1.87","-32.02","4.7e-135","9.71e-135"
"ENSG00000135069","PSAT1","2.82","3.39","36.44","2.76e-158","1.12e-157"
"ENSG00000135100","HNF1A","2.25","2.68","23.98","3.53e-91","1.97e-91"
"ENSG00000135218","CD36","-2.71","3.53","-26.45","9.25e-105","7.86e-105"
"ENSG00000135333","EPHA7","-2.73","1.82","-24.09","9.26e-92","5.28e-92"
"ENSG00000135373","EHF","2.87","4.08","18.64","2.96e-62","8.07e-63"
"ENSG00000135406","PRPH","-3.57","2.88","-35.87","2.38e-155","9.2e-155"
"ENSG00000135424","ITGA7","-3.85","4.51","-29.50","1.87e-121","2.54e-121"
"ENSG00000135437","RDH5","-2.01","3.84","-32.26","2.34e-136","5.05e-136"
"ENSG00000135447","PPP1R1A","-2.87","2.19","-25.12","1.84e-97","1.25e-97"
"ENSG00000135451","TROAP","2.86","3.09","31.55","1.63e-132","3.08e-132"
"ENSG00000135525","MAP7","2.69","3.64","28.61","1.26e-116","1.5e-116"
"ENSG00000135842","NIBAN1","-3.32","3.37","-28.37","2.81e-115","3.22e-115"
"ENSG00000136108","CKAP2","2.32","3.14","46.30","1.58e-206","4.71e-205"
"ENSG00000136153","LMO7","2.31","5.14","21.67","1.55e-78","6.31e-79"
"ENSG00000136379","ABHD17C","2.13","4.60","18.56","7.74e-62","2.09e-62"
"ENSG00000136546","SCN7A","-3.31","2.06","-33.04","1.66e-140","3.98e-140"
"ENSG00000136732","GYPC","-2.45","4.39","-26.42","1.29e-104","1.09e-104"
"ENSG00000136842","TMOD1","-2.75","2.60","-29.58","7.08e-122","9.78e-122"
"ENSG00000136943","CTSV","2.48","2.00","30.75","3.22e-128","5.34e-128"
"ENSG00000137070","IL11RA","-2.91","3.94","-36.56","6.63e-159","2.81e-158"
"ENSG00000137077","CCL21","-2.04","4.78","-14.22","4.32e-40","6.92e-41"
"ENSG00000137094","DNAJB5","-2.73","3.15","-23.46","2.41e-88","1.25e-88"
"ENSG00000137273","FOXF2","-2.59","3.10","-27.70","1.29e-111","1.33e-111"
"ENSG00000137309","HMGA1","3.39","6.41","36.44","2.69e-158","1.1e-157"
"ENSG00000137331","IER3","2.02","6.51","22.49","4.99e-83","2.27e-83"
"ENSG00000137563","GGH","2.97","4.92","25.03","5.89e-97","3.94e-97"
"ENSG00000137648","TMPRSS4","3.35","5.06","18.52","1.2e-61","3.22e-62"
"ENSG00000137673","MMP7","4.89","2.41","41.49","1.18e-183","1.2e-182"
"ENSG00000137699","TRIM29","3.57","3.35","40.06","1.35e-176","1.02e-175"
